Source,Symbol,Change£¤,Last_Trading_Price,Open_price,Change$,volume,Today's_high,Today's_low,Previous_close,52wkHigh,52wkLow,Shares_Outstanding,P/E,Marketcap,Yield,Dividend,EPS,attribute9,attribute10
1,6,22,16,15,10,513983,12,12,,,,,,,,,,1,6
2,6,22,16,15,10,506782,12,12,12,22,15,,69,949920000,25,13,23,1,6
3,6,22,16,15,10,506801,12,12,,,,23120000,,961350000,26,14,,1,6
4,6,23,16,15,10,513983,12,12,,23,16,22729000,70,945306000,27,14,23,1,6
5,6,23,16,15,10,509812,12,12,12,23,16,22729173,,,,,,1,6
6,6,23,16,15,10,509812,12,12,12,23,16,22729173,,,,,,1,6
7,6,23,16,15,10,509812,12,12,12,23,16,22729173,,,,,,1,6
8,6,23,16,15,10,506630,12,12,12,23,16,22729173,,,,,,1,6
9,6,22,16,15,10,506630,12,12,12,23,16,22729173,71,945000000,25,13,,1,6
10,6,22,16,15,10,506801,12,12,12,,,,71,945300000,26,,,1,6
11,6,24,16,15,10,506630,12,12,12,23,16,,71,,,,24,1,6
12,6,22,16,15,10,510801,12,12,12,23,16,22729000,72,914610000,28,14,,1,6
13,6,23,16,15,10,506630,12,12,12,23,16,22729173,,,,,,1,6
14,6,23,16,15,10,506630,12,12,12,23,16,22729173,,,,,,1,6
15,6,23,16,15,10,506630,12,12,12,23,16,22729173,,,,,,1,6
16,6,25,16,15,10,510801,12,12,12,23,16,23000000,70,945000000,29,15,23,1,6
17,6,22,16,,,510801,,,12,24,17,22730000,72,914660000,,13,23,1,6
18,6,22,16,15,10,510801,12,12,12,23,16,,73,945310000,,13,,1,6
19,6,,16,,10,513983,,,12,,,,,,,,,1,6
20,7,27,19,18,3,245609,14,15,,27,19,75000000,42,1340000000,33,17,30,1,7
21,6,23,16,15,10,506630,12,12,12,,,,,,,,,1,6
22,6,23,16,15,10,509812,12,12,12,23,16,22729173,,,,,,1,6
23,6,22,16,15,10,513983,12,12,,,,,70,,,,,1,6
24,6,22,16,15,10,,,,12,,,,,,,,,1,6
25,6,22,16,16,10,,12,12,,23,16,,74,945300000,,,24,1,6
26,6,22,16,16,10,503600,12,13,12,,,22730000,72,910000000,28,,23,1,6
27,6,22,16,15,10,10237,12,12,12,23,16,,75,961350000,26,14,25,1,6
28,6,23,16,15,10,506630,12,12,12,23,16,22729173,,,,,,1,6
29,6,22,16,15,10,510801,12,12,12,23,16,22730000,71,914620000,28,13,23,1,6
30,6,22,16,15,10,510801,12,12,12,23,16,22729000,70,945299110,,,23,1,6
31,6,22,16,15,10,504430,12,12,12,23,16,22730000,71,945300000,26,13,24,1,6
32,6,23,16,15,10,506630,12,12,12,23,16,22729173,,,,,,1,6
33,6,22,16,15,10,513983,12,12,12,23,16,22102491,76,919243000,,14,,1,6
34,6,22,16,16,,513983,12,12,12,23,16,,74,,30,15,24,1,6
35,6,22,16,,10,510801,,,,,,,,,,,,1,6
36,6,22,16,15,10,510801,12,12,13,23,16,,77,,,,26,1,6
37,6,23,16,15,10,506630,12,12,12,23,16,22729173,,,,,,1,6
38,6,22,,15,10,7055,12,12,12,23,16,,75,961350000,26,14,25,1,6
39,6,,,,,0,,,,,,,,,,,,1,6
40,6,22,16,,10,,,,,,,,74,,,,,1,6
41,6,22,16,15,10,513983,12,12,12,23,16,,,914600,28,14,,1,6
42,6,23,16,15,10,509812,12,12,12,23,16,22729173,,,,,,1,6
43,6,22,16,15,10,510800,12,12,12,23,16,,,,,,,1,6
44,6,5,17,17,2,53866,13,14,,,,,,,,,,1,6
45,6,26,18,,11,,,,,,,,,,,,,1,6
46,6,22,16,15,10,506630,12,12,12,23,16,,71,,,,24,1,6
47,6,,16,16,10,510801,12,13,,,,,,,,,,1,6
48,6,22,16,15,10,510801,12,12,12,25,16,22729173,,908030461,,,,1,6
49,6,22,16,15,10,510801,12,12,12,23,16,,78,914600000,28,14,,1,6
50,6,22,16,15,10,513983,12,12,12,23,16,22729173,79,945306305,28,14,23,1,6
51,6,22,16,15,10,506801,12,12,12,23,16,22720000000,80,915000000,,,26,1,6
52,6,22,16,15,10,506630,12,12,,23,16,,79,915000000,25,2,27,1,6
53,6,22,16,16,10,510801,12,12,12,23,16,,81,945300000,25,13,24,1,6
54,6,26,18,,11,,,,,23,16,,70,949460000,31,,23,1,6
55,6,22,16,,10,,12,12,,23,16,,80,919240000,28,13,26,1,6
